game_id,team1,team2,team_1_win
748266,"[34.9, 0.24339999999999992, 3.9, 1.8, 9.4, 0.7, 16.9, 0.32910000000000006, 0.7441, 4.1, 4.2, 0.41500000000000004, 0.8, 7.7, 0.2, 33.9, 3.8, 1.4, 1.7, 3.812, 6.5, 0.7, 9.4, 149.8, 0.2772, 149.8, 1.9, 1.9, 1.0, 9.4, 93.8, 0.1, 0.9]","[34.4, 0.22669999999999998, 2.9, 1.1, 8.9, 1.0, 14.7, 0.31129999999999997, 0.7033, 4.1, 4.3, 0.392, 0.4, 7.6, 0.1, 33.0, 2.5, 1.7, 4.7, 5.35, 8.0, 2.0, 8.6, 138.9, 0.2905, 138.9, 4.7, 4.7, 0.7, 9.0, 88.8, 0.1, 0.6]",0
748344,"[32.1, 0.2599, 1.9, 1.3, 7.1, 0.6, 14.1, 0.3258, 0.754, 2.5, 2.8, 0.4282, 1.1, 9.9, 0.1, 31.0, 2.5, 1.6, 3.9, 4.572, 7.1, 0.9, 8.4, 136.3, 0.2772, 136.3, 4.2, 4.3, 0.6, 8.2, 87.1, 0.0, 0.0]","[23.0, 0.261, 3.0, 1.0, 6.0, 0.0, 9.0, 0.346, 0.65, 2.0, 3.0, 0.304, 3.0, 4.0, 0.0, 23.0, 6.0, 3.0, 5.0, 7.5, 6.0, 0.0, 6.0, 52.0, 0.4, 52.0, 5.0, 5.0, 1.0, 2.0, 28.0, 0.0, 0.0]",1
748263,"[35.2, 0.2142, 3.5, 1.3, 8.5, 2.1, 13.6, 0.30419999999999997, 0.7039000000000001, 5.6, 5.8, 0.3997, 0.6, 7.9, 0.1, 35.2, 3.9, 1.7, 5.1, 4.891, 9.6, 1.0, 9.2, 146.9, 0.34480000000000005, 146.9, 5.0, 5.1, 1.0, 7.1, 93.5, 0.3, 0.4]","[32.9, 0.24289999999999995, 2.3, 0.9, 7.8, 1.1, 11.8, 0.3019, 0.6973, 4.0, 4.1, 0.3954000000000001, 0.7, 10.0, 0.3, 33.1, 4.1, 1.5, 5.0, 5.174, 8.2, 1.4, 8.6, 149.4, 0.3355, 149.4, 5.3, 5.3, 0.4, 8.0, 91.9, 0.4, 0.4]",1
748341,"[33.9, 0.2549, 4.1, 1.6, 8.3, 1.2, 16.5, 0.33039999999999997, 0.7516, 4.7, 4.9, 0.42119999999999996, 1.1, 8.4, 0.3, 33.3, 4.4, 2.3, 3.8, 4.077, 7.9, 1.1, 8.709999999999999, 148.1, 0.32609999999999995, 148.1, 4.3, 4.6, 0.8, 9.2, 90.8, 0.3, 0.9]","[31.7, 0.23889999999999997, 2.0, 1.0, 6.0, 0.9, 12.7, 0.2924999999999999, 0.6782000000000001, 2.0, 2.0, 0.3857, 0.5, 9.8, 0.0, 31.3, 4.0, 1.3, 3.1, 4.912, 6.7, 0.5, 8.8, 155.2, 0.2983, 155.2, 3.5, 3.6, 1.1, 7.2, 93.8, 0.4, 0.2]",1
748260,"[34.7, 0.2327, 3.6, 1.3, 9.2, 1.1, 15.0, 0.32320000000000004, 0.7197000000000001, 5.5, 5.6, 0.3965, 0.3, 8.4, 0.1, 33.1, 2.8, 1.4, 4.4, 5.045, 7.8, 2.0, 8.7, 133.5, 0.28969999999999996, 133.5, 4.4, 4.4, 0.7, 9.1, 86.1, 0.1, 0.9]","[35.4, 0.24040000000000003, 4.2, 1.7, 9.3, 0.8, 17.6, 0.3279, 0.7318, 3.9, 4.0, 0.4039, 0.7, 8.4, 0.2, 34.2, 4.4, 1.6, 2.9, 4.825, 6.8, 0.7, 9.4, 147.0, 0.2914, 147.0, 3.1, 3.1, 0.8, 10.1, 91.5, 0.1, 0.9]",1
748264,"[34.7, 0.24840000000000004, 2.7, 2.2, 8.8, 1.7, 14.5, 0.3101, 0.7112, 4.0, 4.3, 0.4011, 0.8, 10.6, 0.1, 35.7, 4.5, 1.6, 6.3, 5.642, 10.9, 1.6, 8.9, 166.6, 0.39239999999999997, 166.6, 6.0, 6.4, 0.7, 8.2, 104.0, 0.1, 0.0]","[34.5, 0.2391, 3.2, 1.8, 9.4, 0.7, 14.9, 0.2909, 0.6513000000000001, 4.0, 4.0, 0.36039999999999994, 1.6, 8.7, 0.2, 33.1, 3.7, 1.3, 3.3, 4.398999999999999, 6.9, 1.3, 9.11, 142.9, 0.2822, 142.9, 3.6, 4.1, 0.7, 9.4, 91.4, 0.2, 0.8]",1
748262,"[31.1, 0.2481, 3.3, 1.6, 6.3, 0.6, 11.5, 0.31840000000000007, 0.7338, 2.9, 3.0, 0.4154, 0.6, 8.5, 0.0, 33.2, 3.1, 1.3, 2.9, 4.484999999999999, 7.0, 0.6, 8.9, 146.8, 0.2684, 146.8, 3.0, 3.4, 1.0, 9.3, 93.3, 0.1, 0.9]","[31.3, 0.2695, 2.1, 1.6, 7.0, 0.5, 14.5, 0.3369, 0.7791, 2.5, 3.0, 0.4422, 1.3, 9.5, 0.1, 29.6, 2.2, 1.3, 2.7, 4.368, 5.8, 0.5, 8.3, 125.5, 0.25739999999999996, 125.5, 2.8, 3.0, 0.7, 8.4, 81.2, 0.0, 0.1]",1
748258,"[33.0, 0.24230000000000002, 5.5, 1.4, 8.2, 1.6, 16.4, 0.3566, 0.7962, 5.1, 5.4, 0.4396000000000001, 0.3, 11.1, 0.1, 34.2, 2.6, 1.0, 3.5, 3.567, 8.3, 1.8, 8.91, 145.2, 0.2942, 145.2, 3.6, 3.8, 0.6, 10.8, 98.2, 0.0, 1.0]","[35.7, 0.23849999999999993, 3.9, 2.2, 9.6, 0.9, 18.8, 0.3141, 0.7063999999999999, 4.7, 5.0, 0.3923, 0.6, 10.9, 0.3, 33.6, 3.9, 2.0, 4.9, 4.617, 8.4, 1.3, 8.809999999999999, 152.3, 0.3237, 152.3, 4.8, 5.0, 0.9, 8.8, 96.4, 0.0, 0.8]",1
748256,"[36.6, 0.24689999999999998, 2.2, 1.8, 10.7, 1.3, 16.2, 0.30800000000000005, 0.709, 5.1, 5.2, 0.40099999999999997, 0.3, 8.7, 0.0, 37.1, 3.3, 2.9, 5.1, 3.8629999999999995, 10.0, 1.3, 9.0, 155.9, 0.33440000000000003, 155.9, 5.6, 6.3, 0.7, 10.0, 101.1, 0.4, 0.0]","[34.4, 0.23440000000000003, 3.1, 1.5, 8.6, 1.1, 16.8, 0.3020999999999999, 0.6969, 4.2, 4.6, 0.39480000000000004, 1.0, 8.8, 0.3, 35.3, 3.9, 1.4, 5.0, 3.697, 9.7, 1.8, 8.9, 155.1, 0.34970000000000007, 155.1, 5.4, 5.7, 2.0, 8.6, 98.2, 0.1, 0.5]",0
748255,"[32.6, 0.24970000000000003, 4.1, 2.0, 7.3, 0.5, 16.0, 0.3254, 0.7422000000000001, 3.5, 3.6, 0.4168, 0.6, 8.1, 0.1, 35.5, 3.1, 3.0, 5.1, 4.763, 10.5, 1.5, 8.8, 144.4, 0.34839999999999993, 144.4, 5.5, 5.9, 0.4, 7.0, 92.7, 0.4, 0.0]","[32.1, 0.248, 3.1, 1.1, 7.0, 0.5, 15.4, 0.2964, 0.6729, 2.1, 2.3, 0.37650000000000006, 0.7, 8.8, 0.1, 32.6, 2.6, 2.4, 3.4, 4.409, 7.9, 0.9, 8.4, 144.1, 0.298, 144.1, 3.5, 3.7, 0.5, 10.8, 93.4, 0.1, 0.1]",0
